Image dimensions: 28 x 28
Loaded 10000 images
Model created with 2 layers
Layer 0: 784 inputs, 8 neurons
Image 3970: Predicted digit = 0, Confidence = 1.0000
Image 3971: Predicted digit = 0, Confidence = 1.0000
Image 3972: Predicted digit = 0, Confidence = 0.9952
Image 3973: Predicted digit = 0, Confidence = 0.9963
Image 3974: Predicted digit = 0, Confidence = 0.9921
Image 3975: Predicted digit = 0, Confidence = 1.0000
Image 3976: Predicted digit = 0, Confidence = 1.0000
Image 3977: Predicted digit = 0, Confidence = 0.9968
Image 3978: Predicted digit = 0, Confidence = 0.9981
Image 3979: Predicted digit = 0, Confidence = 1.0000
Image 3980: Predicted digit = 0, Confidence = 0.9909
Image 3981: Predicted digit = 0, Confidence = 1.0000
Image 3982: Predicted digit = 0, Confidence = 0.9967
Image 3983: Predicted digit = 0, Confidence = 0.9609
Image 3984: Predicted digit = 0, Confidence = 1.0000
Image 3985: Predicted digit = 0, Confidence = 1.0000
Image 3986: Predicted digit = 0, Confidence = 1.0000
Image 3987: Predicted digit = 0, Confidence = 1.0000
Image 3988: Predicted digit = 0, Confidence = 0.4927
Image 3989: Predicted digit = 0, Confidence = 0.9994
Image 3990: Predicted digit = 0, Confidence = 1.0000
Image 3991: Predicted digit = 0, Confidence = 1.0000
Image 3992: Predicted digit = 0, Confidence = 0.5961
Image 3993: Predicted digit = 0, Confidence = 0.9703
Image 3994: Predicted digit = 0, Confidence = 1.0000
Image 3995: Predicted digit = 0, Confidence = 0.3176
Image 3996: Predicted digit = 0, Confidence = 0.2888
Image 3997: Predicted digit = 0, Confidence = 0.9998
Image 3998: Predicted digit = 0, Confidence = 0.9982
Image 3999: Predicted digit = 0, Confidence = 0.7904
Image 4000: Predicted digit = 7, Confidence = 0.1364
Image 4001: Predicted digit = 0, Confidence = 0.3259
Image 4002: Predicted digit = 0, Confidence = 1.0000
Image 4003: Predicted digit = 0, Confidence = 0.9984
Image 4004: Predicted digit = 0, Confidence = 0.9999
Image 4005: Predicted digit = 0, Confidence = 1.0000
Image 4006: Predicted digit = 0, Confidence = 0.9999
Image 4007: Predicted digit = 0, Confidence = 0.9998
Image 4008: Predicted digit = 0, Confidence = 0.9999
Image 4009: Predicted digit = 0, Confidence = 1.0000
Image 4010: Predicted digit = 0, Confidence = 1.0000
Image 4011: Predicted digit = 0, Confidence = 1.0000
Image 4012: Predicted digit = 0, Confidence = 0.3546
Image 4013: Predicted digit = 0, Confidence = 1.0000
Image 4014: Predicted digit = 0, Confidence = 1.0000
Image 4015: Predicted digit = 0, Confidence = 0.9958
Image 4016: Predicted digit = 0, Confidence = 1.0000
Image 4017: Predicted digit = 0, Confidence = 0.9999
Image 4018: Predicted digit = 0, Confidence = 0.9999
Image 4019: Predicted digit = 0, Confidence = 0.1488
Image 4020: Predicted digit = 0, Confidence = 1.0000
Image 4021: Predicted digit = 0, Confidence = 0.9972
Image 4022: Predicted digit = 0, Confidence = 0.9998
Image 4023: Predicted digit = 0, Confidence = 0.9993
Image 4024: Predicted digit = 0, Confidence = 0.9947
Image 4025: Predicted digit = 0, Confidence = 1.0000
Image 4026: Predicted digit = 0, Confidence = 0.8554
Image 4027: Predicted digit = 0, Confidence = 0.9998
Image 4028: Predicted digit = 0, Confidence = 0.9995
Image 4029: Predicted digit = 0, Confidence = 0.9983
Image 4030: Predicted digit = 0, Confidence = 1.0000
Image 4031: Predicted digit = 0, Confidence = 0.6333
Image 4032: Predicted digit = 0, Confidence = 0.9981
Image 4033: Predicted digit = 0, Confidence = 0.9784
Image 4034: Predicted digit = 0, Confidence = 0.9986
Image 4035: Predicted digit = 0, Confidence = 1.0000
Image 4036: Predicted digit = 0, Confidence = 1.0000
Image 4037: Predicted digit = 0, Confidence = 0.9971
Image 4038: Predicted digit = 0, Confidence = 0.9932
Image 4039: Predicted digit = 0, Confidence = 0.9940
Image 4040: Predicted digit = 0, Confidence = 0.7825
Image 4041: Predicted digit = 0, Confidence = 1.0000
Image 4042: Predicted digit = 0, Confidence = 0.9164
Image 4043: Predicted digit = 0, Confidence = 0.9997
Image 4044: Predicted digit = 0, Confidence = 1.0000
Image 4045: Predicted digit = 0, Confidence = 1.0000
Image 4046: Predicted digit = 0, Confidence = 0.9998
Image 4047: Predicted digit = 0, Confidence = 0.9939
Image 4048: Predicted digit = 0, Confidence = 0.9906
Image 4049: Predicted digit = 0, Confidence = 0.9595
Image 4050: Predicted digit = 0, Confidence = 0.9999
Image 4051: Predicted digit = 0, Confidence = 1.0000
Image 4052: Predicted digit = 0, Confidence = 0.8317
Image 4053: Predicted digit = 0, Confidence = 1.0000
Image 4054: Predicted digit = 0, Confidence = 0.9998
Image 4055: Predicted digit = 0, Confidence = 0.9778
Image 4056: Predicted digit = 0, Confidence = 1.0000
Image 4057: Predicted digit = 0, Confidence = 1.0000
Image 4058: Predicted digit = 0, Confidence = 0.9997
Image 4059: Predicted digit = 0, Confidence = 0.9725
Image 4060: Predicted digit = 0, Confidence = 0.9876
Image 4061: Predicted digit = 0, Confidence = 1.0000
Image 4062: Predicted digit = 0, Confidence = 0.9907
Image 4063: Predicted digit = 0, Confidence = 0.9991
Image 4064: Predicted digit = 0, Confidence = 0.9997
Image 4065: Predicted digit = 0, Confidence = 0.9967
Image 4066: Predicted digit = 0, Confidence = 0.9998
Image 4067: Predicted digit = 0, Confidence = 1.0000
Image 4068: Predicted digit = 0, Confidence = 0.9993
Image 4069: Predicted digit = 0, Confidence = 1.0000
Image 4070: Predicted digit = 0, Confidence = 1.0000
Image 4071: Predicted digit = 0, Confidence = 0.9543
Image 4072: Predicted digit = 0, Confidence = 0.9494
Image 4073: Predicted digit = 0, Confidence = 0.9910
Image 4074: Predicted digit = 0, Confidence = 0.9999
Image 4075: Predicted digit = 0, Confidence = 1.0000
Image 4076: Predicted digit = 0, Confidence = 0.9468
Image 4077: Predicted digit = 0, Confidence = 1.0000
Image 4078: Predicted digit = 0, Confidence = 1.0000
Image 4079: Predicted digit = 0, Confidence = 1.0000
Image 4080: Predicted digit = 0, Confidence = 1.0000
Image 4081: Predicted digit = 0, Confidence = 0.9894
Image 4082: Predicted digit = 0, Confidence = 0.8537
Image 4083: Predicted digit = 0, Confidence = 0.5212
Image 4084: Predicted digit = 0, Confidence = 0.8796
Image 4085: Predicted digit = 0, Confidence = 1.0000
Image 4086: Predicted digit = 0, Confidence = 0.9999
Image 4087: Predicted digit = 0, Confidence = 0.5443
Image 4088: Predicted digit = 0, Confidence = 0.9962
Image 4089: Predicted digit = 0, Confidence = 1.0000
Image 4090: Predicted digit = 0, Confidence = 1.0000
Image 4091: Predicted digit = 0, Confidence = 0.9988
Image 4092: Predicted digit = 0, Confidence = 1.0000
Image 4093: Predicted digit = 0, Confidence = 1.0000
Image 4094: Predicted digit = 0, Confidence = 0.7067
Image 4095: Predicted digit = 0, Confidence = 0.9867
Image 4096: Predicted digit = 0, Confidence = 0.9985
Image 4097: Predicted digit = 0, Confidence = 1.0000
Image 4098: Predicted digit = 0, Confidence = 0.9974
Image 4099: Predicted digit = 0, Confidence = 0.9995
Image 4100: Predicted digit = 0, Confidence = 0.8621
Image 4101: Predicted digit = 0, Confidence = 1.0000
Image 4102: Predicted digit = 0, Confidence = 1.0000
Image 4103: Predicted digit = 0, Confidence = 0.9957
Image 4104: Predicted digit = 0, Confidence = 1.0000
Image 4105: Predicted digit = 0, Confidence = 0.9998
Image 4106: Predicted digit = 0, Confidence = 0.9975
Image 4107: Predicted digit = 0, Confidence = 0.8709
Image 4108: Predicted digit = 0, Confidence = 1.0000
Image 4109: Predicted digit = 0, Confidence = 0.9997
Image 4110: Predicted digit = 0, Confidence = 0.9793
Image 4111: Predicted digit = 0, Confidence = 0.9774
Image 4112: Predicted digit = 3, Confidence = 0.1192
Image 4113: Predicted digit = 0, Confidence = 1.0000
Image 4114: Predicted digit = 0, Confidence = 0.9999
Image 4115: Predicted digit = 0, Confidence = 1.0000
Image 4116: Predicted digit = 0, Confidence = 0.9209
Image 4117: Predicted digit = 0, Confidence = 0.9961
Image 4118: Predicted digit = 0, Confidence = 0.9917
Image 4119: Predicted digit = 0, Confidence = 0.9632
Image 4120: Predicted digit = 0, Confidence = 1.0000
Image 4121: Predicted digit = 0, Confidence = 0.8752
Image 4122: Predicted digit = 0, Confidence = 0.9997
Image 4123: Predicted digit = 0, Confidence = 0.9944
Image 4124: Predicted digit = 0, Confidence = 0.9964
Image 4125: Predicted digit = 0, Confidence = 1.0000
Image 4126: Predicted digit = 0, Confidence = 0.9998
Image 4127: Predicted digit = 0, Confidence = 0.9994
Image 4128: Predicted digit = 0, Confidence = 1.0000
Image 4129: Predicted digit = 0, Confidence = 1.0000
Image 4130: Predicted digit = 0, Confidence = 0.9982
Image 4131: Predicted digit = 0, Confidence = 0.9930
Image 4132: Predicted digit = 0, Confidence = 1.0000
Image 4133: Predicted digit = 0, Confidence = 0.9995
Image 4134: Predicted digit = 0, Confidence = 0.9933
Image 4135: Predicted digit = 0, Confidence = 0.9979
Image 4136: Predicted digit = 0, Confidence = 0.9998
Image 4137: Predicted digit = 0, Confidence = 1.0000
Image 4138: Predicted digit = 0, Confidence = 0.9995
Image 4139: Predicted digit = 0, Confidence = 0.7726
Image 4140: Predicted digit = 0, Confidence = 0.2691
Image 4141: Predicted digit = 0, Confidence = 0.9592
Image 4142: Predicted digit = 0, Confidence = 1.0000
Image 4143: Predicted digit = 0, Confidence = 1.0000
Image 4144: Predicted digit = 0, Confidence = 1.0000
Image 4145: Predicted digit = 0, Confidence = 1.0000
Image 4146: Predicted digit = 0, Confidence = 0.9889
Image 4147: Predicted digit = 0, Confidence = 0.9999
Image 4148: Predicted digit = 0, Confidence = 1.0000
Image 4149: Predicted digit = 0, Confidence = 1.0000
Image 4150: Predicted digit = 0, Confidence = 0.9731
Image 4151: Predicted digit = 0, Confidence = 0.9999
Image 4152: Predicted digit = 0, Confidence = 0.9939
Image 4153: Predicted digit = 0, Confidence = 1.0000
Image 4154: Predicted digit = 0, Confidence = 1.0000
Image 4155: Predicted digit = 0, Confidence = 0.9817
Image 4156: Predicted digit = 0, Confidence = 1.0000
Image 4157: Predicted digit = 0, Confidence = 1.0000
Image 4158: Predicted digit = 0, Confidence = 0.9968
Image 4159: Predicted digit = 0, Confidence = 0.9566
Image 4160: Predicted digit = 0, Confidence = 0.9994
Image 4161: Predicted digit = 0, Confidence = 1.0000
Image 4162: Predicted digit = 0, Confidence = 0.9998
Image 4163: Predicted digit = 0, Confidence = 0.2370
Image 4164: Predicted digit = 0, Confidence = 1.0000
Image 4165: Predicted digit = 0, Confidence = 1.0000
Image 4166: Predicted digit = 0, Confidence = 0.9824
Image 4167: Predicted digit = 0, Confidence = 0.9630
Image 4168: Predicted digit = 0, Confidence = 1.0000
Image 4169: Predicted digit = 0, Confidence = 1.0000
Image 4170: Predicted digit = 0, Confidence = 0.9998
Image 4171: Predicted digit = 0, Confidence = 1.0000
Image 4172: Predicted digit = 0, Confidence = 0.9462
Image 4173: Predicted digit = 0, Confidence = 1.0000
Image 4174: Predicted digit = 0, Confidence = 0.9973
Image 4175: Predicted digit = 0, Confidence = 1.0000
Image 4176: Predicted digit = 0, Confidence = 0.9980
Image 4177: Predicted digit = 0, Confidence = 1.0000
Image 4178: Predicted digit = 0, Confidence = 0.9395
Image 4179: Predicted digit = 0, Confidence = 1.0000
Image 4180: Predicted digit = 0, Confidence = 0.9998
Image 4181: Predicted digit = 0, Confidence = 1.0000
Image 4182: Predicted digit = 0, Confidence = 0.9104
Image 4183: Predicted digit = 0, Confidence = 0.9791
Image 4184: Predicted digit = 0, Confidence = 0.9989
Image 4185: Predicted digit = 0, Confidence = 0.9413
Image 4186: Predicted digit = 0, Confidence = 0.9516
Image 4187: Predicted digit = 0, Confidence = 1.0000
Image 4188: Predicted digit = 0, Confidence = 1.0000
Image 4189: Predicted digit = 0, Confidence = 0.6176
Image 4190: Predicted digit = 0, Confidence = 1.0000
Image 4191: Predicted digit = 0, Confidence = 0.9986
Image 4192: Predicted digit = 0, Confidence = 0.7298
Image 4193: Predicted digit = 0, Confidence = 0.9999
Image 4194: Predicted digit = 0, Confidence = 0.9993
Image 4195: Predicted digit = 0, Confidence = 1.0000
Image 4196: Predicted digit = 0, Confidence = 0.9989
Image 4197: Predicted digit = 0, Confidence = 0.5898
Image 4198: Predicted digit = 0, Confidence = 0.5322
Image 4199: Predicted digit = 0, Confidence = 0.7844
Image 4200: Predicted digit = 0, Confidence = 0.8220
Image 4201: Predicted digit = 0, Confidence = 1.0000
Image 4202: Predicted digit = 0, Confidence = 0.9998
Image 4203: Predicted digit = 0, Confidence = 1.0000
Image 4204: Predicted digit = 0, Confidence = 1.0000
Image 4205: Predicted digit = 0, Confidence = 0.9965
Image 4206: Predicted digit = 0, Confidence = 0.2043
Image 4207: Predicted digit = 0, Confidence = 0.9998
Image 4208: Predicted digit = 0, Confidence = 0.9962
Image 4209: Predicted digit = 0, Confidence = 0.9992
Image 4210: Predicted digit = 0, Confidence = 0.9994
Image 4211: Predicted digit = 0, Confidence = 0.9413
Image 4212: Predicted digit = 0, Confidence = 1.0000
Image 4213: Predicted digit = 0, Confidence = 1.0000
Image 4214: Predicted digit = 0, Confidence = 1.0000
Image 4215: Predicted digit = 0, Confidence = 0.9322
Image 4216: Predicted digit = 0, Confidence = 0.9878
Image 4217: Predicted digit = 0, Confidence = 0.1358
Image 4218: Predicted digit = 0, Confidence = 0.9971
Image 4219: Predicted digit = 0, Confidence = 0.8490
Image 4220: Predicted digit = 0, Confidence = 1.0000
Image 4221: Predicted digit = 0, Confidence = 0.9999
Image 4222: Predicted digit = 0, Confidence = 0.9977
Image 4223: Predicted digit = 0, Confidence = 0.9985
Image 4224: Predicted digit = 0, Confidence = 1.0000
Image 4225: Predicted digit = 0, Confidence = 0.8013
Image 4226: Predicted digit = 0, Confidence = 0.9830
Image 4227: Predicted digit = 0, Confidence = 1.0000
Image 4228: Predicted digit = 0, Confidence = 0.9620
Image 4229: Predicted digit = 0, Confidence = 0.7533
Image 4230: Predicted digit = 0, Confidence = 0.9992
Image 4231: Predicted digit = 0, Confidence = 1.0000
Image 4232: Predicted digit = 0, Confidence = 0.9994
Image 4233: Predicted digit = 0, Confidence = 0.9945
Image 4234: Predicted digit = 0, Confidence = 0.9949
Image 4235: Predicted digit = 0, Confidence = 0.9427
Image 4236: Predicted digit = 0, Confidence = 0.1000
Image 4237: Predicted digit = 0, Confidence = 0.9995
Image 4238: Predicted digit = 0, Confidence = 0.2173
Image 4239: Predicted digit = 0, Confidence = 1.0000
Image 4240: Predicted digit = 0, Confidence = 0.9938
Image 4241: Predicted digit = 0, Confidence = 1.0000
Image 4242: Predicted digit = 0, Confidence = 0.9999
Image 4243: Predicted digit = 0, Confidence = 0.9671
Image 4244: Predicted digit = 0, Confidence = 0.9997
Image 4245: Predicted digit = 0, Confidence = 0.9959
Image 4246: Predicted digit = 0, Confidence = 0.9998
Image 4247: Predicted digit = 0, Confidence = 0.9999
Image 4248: Predicted digit = 0, Confidence = 0.9991
Image 4249: Predicted digit = 0, Confidence = 0.9961
Image 4250: Predicted digit = 0, Confidence = 0.9997
Image 4251: Predicted digit = 0, Confidence = 0.9899
Image 4252: Predicted digit = 0, Confidence = 0.9997
Image 4253: Predicted digit = 0, Confidence = 0.9877
Image 4254: Predicted digit = 0, Confidence = 0.9910
Image 4255: Predicted digit = 0, Confidence = 1.0000
Image 4256: Predicted digit = 0, Confidence = 1.0000
Image 4257: Predicted digit = 0, Confidence = 0.9865
Image 4258: Predicted digit = 0, Confidence = 0.9350
Image 4259: Predicted digit = 0, Confidence = 0.9943
Image 4260: Predicted digit = 0, Confidence = 0.9995
Image 4261: Predicted digit = 0, Confidence = 0.9997
Image 4262: Predicted digit = 0, Confidence = 0.9975
Image 4263: Predicted digit = 0, Confidence = 0.9996
Image 4264: Predicted digit = 0, Confidence = 1.0000
Image 4265: Predicted digit = 0, Confidence = 0.9961
Image 4266: Predicted digit = 0, Confidence = 0.9976
Image 4267: Predicted digit = 0, Confidence = 0.9992
Image 4268: Predicted digit = 0, Confidence = 0.4879
Image 4269: Predicted digit = 0, Confidence = 0.3600
Image 4270: Predicted digit = 0, Confidence = 0.9933
Image 4271: Predicted digit = 0, Confidence = 1.0000
Image 4272: Predicted digit = 0, Confidence = 1.0000
Image 4273: Predicted digit = 0, Confidence = 1.0000
Image 4274: Predicted digit = 0, Confidence = 0.9994
Image 4275: Predicted digit = 0, Confidence = 0.9999
Image 4276: Predicted digit = 0, Confidence = 1.0000
Image 4277: Predicted digit = 0, Confidence = 1.0000
Image 4278: Predicted digit = 0, Confidence = 1.0000
Image 4279: Predicted digit = 0, Confidence = 0.9995
Image 4280: Predicted digit = 0, Confidence = 0.9995
Image 4281: Predicted digit = 0, Confidence = 0.1398
Image 4282: Predicted digit = 0, Confidence = 0.9924
Image 4283: Predicted digit = 0, Confidence = 0.1266
Image 4284: Predicted digit = 0, Confidence = 1.0000
Image 4285: Predicted digit = 0, Confidence = 0.9995
Image 4286: Predicted digit = 0, Confidence = 0.8299
Image 4287: Predicted digit = 0, Confidence = 0.9940
Image 4288: Predicted digit = 0, Confidence = 0.7295
Image 4289: Predicted digit = 0, Confidence = 1.0000
Image 4290: Predicted digit = 0, Confidence = 1.0000
Image 4291: Predicted digit = 0, Confidence = 1.0000
Image 4292: Predicted digit = 0, Confidence = 0.9999
Image 4293: Predicted digit = 0, Confidence = 0.9996
Image 4294: Predicted digit = 0, Confidence = 1.0000
Image 4295: Predicted digit = 0, Confidence = 0.9752
Image 4296: Predicted digit = 0, Confidence = 0.5207
Image 4297: Predicted digit = 0, Confidence = 1.0000
Image 4298: Predicted digit = 0, Confidence = 0.1565
Image 4299: Predicted digit = 0, Confidence = 0.9999
Image 4300: Predicted digit = 0, Confidence = 0.5269
Image 4301: Predicted digit = 0, Confidence = 0.7894
Image 4302: Predicted digit = 0, Confidence = 1.0000
Image 4303: Predicted digit = 0, Confidence = 0.9923
Image 4304: Predicted digit = 0, Confidence = 1.0000
Image 4305: Predicted digit = 0, Confidence = 1.0000
Image 4306: Predicted digit = 0, Confidence = 0.9705
Image 4307: Predicted digit = 0, Confidence = 0.6693
Image 4308: Predicted digit = 0, Confidence = 0.9903
Image 4309: Predicted digit = 0, Confidence = 0.9082
Image 4310: Predicted digit = 0, Confidence = 0.9989
Image 4311: Predicted digit = 0, Confidence = 0.8716
Image 4312: Predicted digit = 0, Confidence = 0.9918
Image 4313: Predicted digit = 0, Confidence = 0.9746
Image 4314: Predicted digit = 0, Confidence = 0.9996
Image 4315: Predicted digit = 0, Confidence = 0.9978
Image 4316: Predicted digit = 0, Confidence = 0.8959
Image 4317: Predicted digit = 0, Confidence = 1.0000
Image 4318: Predicted digit = 0, Confidence = 0.9794
Image 4319: Predicted digit = 0, Confidence = 0.9961
Image 4320: Predicted digit = 0, Confidence = 0.9929
Image 4321: Predicted digit = 0, Confidence = 0.9943
Image 4322: Predicted digit = 0, Confidence = 0.9999
Image 4323: Predicted digit = 0, Confidence = 0.9983
Image 4324: Predicted digit = 0, Confidence = 0.9113
Image 4325: Predicted digit = 0, Confidence = 1.0000
Image 4326: Predicted digit = 0, Confidence = 1.0000
Image 4327: Predicted digit = 0, Confidence = 0.8046
Image 4328: Predicted digit = 0, Confidence = 0.9999
Image 4329: Predicted digit = 0, Confidence = 0.9654
Image 4330: Predicted digit = 0, Confidence = 0.9982
Image 4331: Predicted digit = 0, Confidence = 1.0000
Image 4332: Predicted digit = 0, Confidence = 1.0000
Image 4333: Predicted digit = 0, Confidence = 0.9999
Image 4334: Predicted digit = 0, Confidence = 1.0000
Image 4335: Predicted digit = 0, Confidence = 1.0000
Image 4336: Predicted digit = 0, Confidence = 0.9734
Image 4337: Predicted digit = 0, Confidence = 0.9999
Image 4338: Predicted digit = 0, Confidence = 0.9989
Image 4339: Predicted digit = 0, Confidence = 0.9991
Image 4340: Predicted digit = 0, Confidence = 0.8488
Image 4341: Predicted digit = 0, Confidence = 0.9615
Image 4342: Predicted digit = 0, Confidence = 0.9996
Image 4343: Predicted digit = 0, Confidence = 0.9999
Image 4344: Predicted digit = 0, Confidence = 0.9966
Image 4345: Predicted digit = 0, Confidence = 0.9950
Image 4346: Predicted digit = 0, Confidence = 1.0000
Image 4347: Predicted digit = 0, Confidence = 0.9930
Image 4348: Predicted digit = 0, Confidence = 1.0000
Image 4349: Predicted digit = 0, Confidence = 1.0000
Image 4350: Predicted digit = 0, Confidence = 0.4346
Image 4351: Predicted digit = 0, Confidence = 0.9976
Image 4352: Predicted digit = 0, Confidence = 0.9325
Image 4353: Predicted digit = 0, Confidence = 1.0000
Image 4354: Predicted digit = 0, Confidence = 0.8403
Image 4355: Predicted digit = 0, Confidence = 0.9984
Image 4356: Predicted digit = 0, Confidence = 0.9161
Image 4357: Predicted digit = 0, Confidence = 1.0000
Image 4358: Predicted digit = 0, Confidence = 0.9856
Image 4359: Predicted digit = 0, Confidence = 0.9999
Image 4360: Predicted digit = 0, Confidence = 0.9999
Image 4361: Predicted digit = 0, Confidence = 1.0000
Image 4362: Predicted digit = 0, Confidence = 0.9994
Image 4363: Predicted digit = 0, Confidence = 0.7925
Image 4364: Predicted digit = 0, Confidence = 1.0000
Image 4365: Predicted digit = 0, Confidence = 0.9966
Image 4366: Predicted digit = 0, Confidence = 0.9952
Image 4367: Predicted digit = 0, Confidence = 0.9999
Image 4368: Predicted digit = 0, Confidence = 0.9778
Image 4369: Predicted digit = 0, Confidence = 0.9970
Image 4370: Predicted digit = 0, Confidence = 0.9951
Image 4371: Predicted digit = 0, Confidence = 0.9998
Image 4372: Predicted digit = 0, Confidence = 1.0000
Image 4373: Predicted digit = 0, Confidence = 0.8731
Image 4374: Predicted digit = 0, Confidence = 0.1775
Image 4375: Predicted digit = 0, Confidence = 1.0000
Image 4376: Predicted digit = 0, Confidence = 0.9991
Image 4377: Predicted digit = 0, Confidence = 0.2280
Image 4378: Predicted digit = 0, Confidence = 0.9985
Image 4379: Predicted digit = 0, Confidence = 0.9989
Image 4380: Predicted digit = 0, Confidence = 0.9987
Image 4381: Predicted digit = 0, Confidence = 0.9773
Image 4382: Predicted digit = 0, Confidence = 1.0000
Image 4383: Predicted digit = 0, Confidence = 0.9998
Image 4384: Predicted digit = 0, Confidence = 0.1000
Image 4385: Predicted digit = 0, Confidence = 0.9995
Image 4386: Predicted digit = 0, Confidence = 0.9997
Image 4387: Predicted digit = 0, Confidence = 0.7982
Image 4388: Predicted digit = 0, Confidence = 0.1452
Image 4389: Predicted digit = 0, Confidence = 1.0000
Image 4390: Predicted digit = 0, Confidence = 0.9992
Image 4391: Predicted digit = 0, Confidence = 1.0000
Image 4392: Predicted digit = 0, Confidence = 0.9709
Image 4393: Predicted digit = 0, Confidence = 1.0000
Image 4394: Predicted digit = 0, Confidence = 0.9999
Image 4395: Predicted digit = 0, Confidence = 0.9680
Image 4396: Predicted digit = 0, Confidence = 0.9972
Image 4397: Predicted digit = 0, Confidence = 0.9978
Image 4398: Predicted digit = 0, Confidence = 1.0000
Image 4399: Predicted digit = 0, Confidence = 0.9999
Image 4400: Predicted digit = 0, Confidence = 1.0000
Image 4401: Predicted digit = 0, Confidence = 0.9964
Image 4402: Predicted digit = 0, Confidence = 0.9996
Image 4403: Predicted digit = 0, Confidence = 0.1201
Image 4404: Predicted digit = 0, Confidence = 1.0000
Image 4405: Predicted digit = 0, Confidence = 1.0000
Image 4406: Predicted digit = 0, Confidence = 0.9993
Image 4407: Predicted digit = 0, Confidence = 0.9964
Image 4408: Predicted digit = 0, Confidence = 0.9997
Image 4409: Predicted digit = 0, Confidence = 0.9997
Image 4410: Predicted digit = 0, Confidence = 0.9997
Image 4411: Predicted digit = 0, Confidence = 1.0000
Image 4412: Predicted digit = 0, Confidence = 0.6006
Image 4413: Predicted digit = 0, Confidence = 1.0000
Image 4414: Predicted digit = 0, Confidence = 0.9999
Image 4415: Predicted digit = 0, Confidence = 0.9972
Image 4416: Predicted digit = 0, Confidence = 0.9971
Image 4417: Predicted digit = 0, Confidence = 0.9490
Image 4418: Predicted digit = 0, Confidence = 0.8379
Image 4419: Predicted digit = 0, Confidence = 0.9848
Image 4420: Predicted digit = 0, Confidence = 0.9999
Image 4421: Predicted digit = 0, Confidence = 0.9517
Image 4422: Predicted digit = 0, Confidence = 0.7776
Image 4423: Predicted digit = 0, Confidence = 0.9794
Image 4424: Predicted digit = 0, Confidence = 0.9996
Image 4425: Predicted digit = 0, Confidence = 1.0000
Image 4426: Predicted digit = 0, Confidence = 0.9999
Image 4427: Predicted digit = 0, Confidence = 0.7866
Image 4428: Predicted digit = 0, Confidence = 0.9795
Image 4429: Predicted digit = 0, Confidence = 0.9538
Image 4430: Predicted digit = 0, Confidence = 0.9998
Image 4431: Predicted digit = 0, Confidence = 0.9988
Image 4432: Predicted digit = 0, Confidence = 0.4398
Image 4433: Predicted digit = 0, Confidence = 1.0000
Image 4434: Predicted digit = 0, Confidence = 0.3237
Image 4435: Predicted digit = 0, Confidence = 0.9999
Image 4436: Predicted digit = 0, Confidence = 1.0000
Image 4437: Predicted digit = 0, Confidence = 0.7285
Image 4438: Predicted digit = 0, Confidence = 1.0000
Image 4439: Predicted digit = 0, Confidence = 0.9992
Image 4440: Predicted digit = 0, Confidence = 0.9271
Image 4441: Predicted digit = 0, Confidence = 0.9993
Image 4442: Predicted digit = 0, Confidence = 0.9995
Image 4443: Predicted digit = 0, Confidence = 0.5820
Image 4444: Predicted digit = 0, Confidence = 0.9996
Image 4445: Predicted digit = 0, Confidence = 0.9999
Image 4446: Predicted digit = 0, Confidence = 0.9930
Image 4447: Predicted digit = 0, Confidence = 0.9955
Image 4448: Predicted digit = 0, Confidence = 1.0000
Image 4449: Predicted digit = 0, Confidence = 0.9999
Image 4450: Predicted digit = 0, Confidence = 0.9991
Image 4451: Predicted digit = 0, Confidence = 0.9998
Image 4452: Predicted digit = 0, Confidence = 0.9656
Image 4453: Predicted digit = 0, Confidence = 0.6947
Image 4454: Predicted digit = 0, Confidence = 1.0000
Image 4455: Predicted digit = 0, Confidence = 0.9999
Image 4456: Predicted digit = 0, Confidence = 0.9998
Image 4457: Predicted digit = 0, Confidence = 0.9993
Image 4458: Predicted digit = 6, Confidence = 0.1255
Image 4459: Predicted digit = 0, Confidence = 0.9981
Image 4460: Predicted digit = 0, Confidence = 1.0000
Image 4461: Predicted digit = 0, Confidence = 0.4492
Image 4462: Predicted digit = 0, Confidence = 1.0000
Image 4463: Predicted digit = 0, Confidence = 0.3474
Image 4464: Predicted digit = 0, Confidence = 0.9996
Image 4465: Predicted digit = 0, Confidence = 0.9766
Image 4466: Predicted digit = 0, Confidence = 0.9996
Image 4467: Predicted digit = 0, Confidence = 1.0000
Image 4468: Predicted digit = 0, Confidence = 0.9972
Image 4469: Predicted digit = 0, Confidence = 0.9958
Image 4470: Predicted digit = 0, Confidence = 1.0000
Image 4471: Predicted digit = 0, Confidence = 0.9857
Image 4472: Predicted digit = 0, Confidence = 0.9989
Image 4473: Predicted digit = 0, Confidence = 1.0000
Image 4474: Predicted digit = 0, Confidence = 0.9848
Image 4475: Predicted digit = 0, Confidence = 0.7980
Image 4476: Predicted digit = 0, Confidence = 0.9998
Image 4477: Predicted digit = 0, Confidence = 1.0000
Image 4478: Predicted digit = 0, Confidence = 0.9999
Image 4479: Predicted digit = 0, Confidence = 1.0000
Image 4480: Predicted digit = 0, Confidence = 0.5422
Image 4481: Predicted digit = 0, Confidence = 0.9938
Image 4482: Predicted digit = 0, Confidence = 0.9966
Image 4483: Predicted digit = 0, Confidence = 0.9995
Image 4484: Predicted digit = 0, Confidence = 0.9780
Image 4485: Predicted digit = 0, Confidence = 1.0000
